username,password,role,expected_result,test_scenario,description
admin,admin123,admin,success,normal_login,管理员正常登录
user,user123,user,success,normal_login,普通用户正常登录
test,wrongpass,user,failure,wrong_password,错误密码登录
invalid,,user,failure,empty_password,空密码登录
,password,user,failure,empty_username,空用户名登录
locked,locked123,user,failure,account_locked,账号被锁定
expired,expired123,user,failure,password_expired,密码已过期
special@user,special123,user,success,special_chars,特殊字符用户名
long_username_12345678901234567890,longpass123,user,failure,long_username,用户名超长
user,short,user,failure,short_password,密码过短
user,long_password_1234567890123456789012345678901234567890,user,failure,long_password,密码超长
user,user123,user,failure,wrong_captcha,错误验证码
user,user123,user,failure,empty_captcha,空验证码
user,user123,user,failure,multiple_failures,多次登录失败
user,user123,user,success,session_timeout,会话超时后登录 
